time,x0,x1,x2,speed,h
0,0.29719484248890277,0.367849679096194,0.3349554784149033,0.08789197915623477,0.8523658961269198
0.1,0.29327877736652735,0.36449704219133283,0.3422241804421398,0.09056868841001636,0.8523658961269198
0.2,0.290392845523232,0.35994720862534985,0.34965994585141813,0.09332691559635632,0.8523658961269198
0.3,0.28869241531613715,0.3542706683852054,0.35703691629865736,0.09616914330589055,0.8523658961269198
0.4,0.28830480638034406,0.347578058922083,0.364117134697573,0.09909792973539548,0.8523658961269198
0.5,0.2893235110236898,0.34001913345412493,0.37065735552218526,0.10211591099033808,0.8523658961269198
0.6,0.2918031327806155,0.3317804230029592,0.3764164442164254,0.10522580345754828,0.8523658961269198
0.7000000000000001,0.29575524724309676,0.32308158565188044,0.38116316710502274,0.1084304062501504,0.8523658961269198
0.8,0.3011453736752507,0.31417047780983604,0.38468414851491334,0.11173260372695475,0.8523658961269198
0.9,0.3078912222919992,0.305317025010382,0.38679175269761884,0.11513536808857412,0.8523658961269198
1,0.3158623517577279,0.2968060127003773,0.3873316355418947,0.11864176205260599,0.8523658961269198
1.1,0.32488133498725397,0.2889289592270344,0.3861897057857116,0.12225494161028393,0.8523658961269198
1.2,0.3347264894869163,0.28197527241532905,0.38329823809775476,0.1259781588670835,0.8523658961269198
1.3,0.34513618225524156,0.27622292633713497,0.37864089140762347,0.1298147649698368,0.8523658961269198
1.4000000000000001,0.3558146698680453,0.27192892474464003,0.3722564053873147,0.13376821312299045,0.8523658961269198
1.5,0.3664393831745466,0.26931984089472094,0.3642407759307324,0.13784206169672264,0.8523658961269198
1.6,0.3766695145438369,0.26858273898017654,0.35474774647598656,0.14203997742971655,0.8523658961269198
1.7,0.3861557154424138,0.26985678913588984,0.3439874954216964,0.14636573872947312,0.8523658961269198
1.8,0.39455066496885877,0.27322588524836966,0.3322234497827716,0.1508232390731316,0.8523658961269198
1.9000000000000001,0.40152022750468136,0.2787125620657836,0.31976721042953515,0.15541649051186315,0.8523658961269198
2,0.40675488149964495,0.28627348516909584,0.3069716333312592,0.16014962728198726,0.8523658961269198
2.1,0.4099810731347125,0.29579675432074815,0.2942221725445394,0.16502690952606283,0.8523658961269198
2.2,0.41097212958059987,0.30710121798007156,0.2819266524393287,0.1700527271273046,0.8523658961269198
2.3000000000000003,0.4095583579711134,0.3199379451227036,0.27050369690618303,0.17523160366077428,0.8523658961269198
2.4,0.4056359589558273,0.3339939410135045,0.2603701000306682,0.18056820046490377,0.8523658961269198
2.5,0.3991743984005167,0.3488981276638362,0.2519274739356471,0.1860673208370134,0.8523658961269198
2.6,0.3902219077385159,0.3642295390507738,0.24554855321071037,0.19173391435660483,0.8523658961269198
2.7,0.37890882254258534,0.379527607739287,0.24156356971812765,0.19757308134031545,0.8523658961269198
2.8000000000000003,0.3654485195942202,0.39430434548921467,0.24024713491656516,0.20359007743254914,0.8523658961269198
2.9,0.3501357741847936,0.40805814806082896,0.2418060777543775,0.20979031833590958,0.8523658961269198
3,0.33334243030311506,0.4202888861592554,0.24636868353762956,0.21617938468569917,0.8523658961269198
3.1,0.315510355079345,0.43051388270076224,0.2539757622198928,0.22276302707286635,0.8523658961269198
3.2,0.29714173334745037,0.43828432370759235,0.2645739429449573,0.2295471712199267,0.8523658961269198
3.3000000000000003,0.27878684613094146,0.4432016083712789,0.2780115454977796,0.23653792331451248,0.8523658961269198
3.4,0.2610295656694469,0.4449331151809303,0.2940373191496228,0.24374157550535414,0.8523658961269198
3.5,0.2444708865195377,0.443226847214114,0.3123022662663484,0.2511646115656381,0.8523658961269198
3.6,0.2297108944040079,0.4379244220899572,0.332364683506035,0.2588137127288412,0.8523658961269198
3.7,0.2173296489451812,0.42897189161242033,0.3536984594423985,0.26669576370229126,0.8523658961269198
3.8000000000000003,0.2078675203596785,0.4164279132251275,0.37570456641519406,0.2748178588638679,0.8523658961269198
3.9,0.20180557093292245,0.4004688499655908,0.39772557910148687,0.2831873086474224,0.8523658961269198
4,0.19954660720343795,0.3813904469933609,0.41906294580320114,0.2918116461226615,0.8523658961269198
4.1,0.20139754618799732,0.3596058197461757,0.438996634065827,0.30069863377541745,0.8523658961269198
4.2,0.20755373702095273,0.3356395895519423,0.456806673427105,0.3098562704944104,0.8523658961269198
4.3,0.2180858569298219,0.3101181147444061,0.4717960283257719,0.31929279877078826,0.8523658961269198
4.4,0.2329299569702107,0.2837558861398826,0.4833141568899067,0.3290167121169235,0.8523658961269198
4.5,0.25188116847666864,0.2573382818252071,0.49078054969812424,0.33903676271114946,0.8523658961269198
4.6000000000000005,0.2745914965032252,0.23170100390460918,0.4937074995921657,0.34936196927531055,0.8523658961269198
4.7,0.3005720230678822,0.20770664519858473,0.4917213317335331,0.36000162519222045,0.8523658961269198
4.8,0.3291997229044555,0.1862189527541268,0.48458132434141776,0.3709653068703345,0.8523658961269198
4.9,0.3597289604483763,0.16807546323657055,0.47219557631505316,0.38226288236316375,0.8523658961269198
5,0.39130759233859796,0.15405927873272404,0.45463312892867797,0.393904520251188,0.8523658961269198
5.1000000000000005,0.42299744874643047,0.14487082632207351,0.43213172493149604,0.4059006987942664,0.8523658961269198
5.2,0.45379881373579845,0.1411004974387131,0.4051006888254885,0.41826221536277713,0.8523658961269198
5.3,0.4826783743493085,0.1432030905080026,0.37411853514268884,0.43100019615598,0.8523658961269198
5.4,0.5085999651419583,0.15147498016796632,0.3399250546900754,0.4441261062163465,0.8523658961269198
5.5,0.5305573044567814,0.1660349068727623,0.30340778867045615,0.4576517597488727,0.8523658961269198
5.6000000000000005,0.5476078057728307,0.18680922094741031,0.26558297327975894,0.4715893307546601,0.8523658961269198
