time,x0,x1,x2,x3,speed,h
0,0.6056915102887277,0.3943084897112723,0.5089053159903381,0.491094684009662,0.30000000000000004,1
0.1,0.605353929966668,0.39464607003333196,0.48773014097560957,0.5122698590243904,0.2999999999986668,1
0.2,0.6008162209315718,0.3991837790684282,0.46704412651929045,0.5329558734807096,0.2999999999973338,1
0.3,0.5922592873226549,0.4077407126773451,0.4476719587370611,0.5523280412629389,0.29999999999600035,1
0.4,0.5800242670790673,0.4199757329209327,0.4303859448239212,0.5696140551760789,0.29999999999466725,1
0.5,0.5645989318468161,0.435401068153184,0.41587522360356327,0.5841247763964367,0.2999999999933341,1
0.6,0.546598241062542,0.453401758937458,0.40471829173824975,0.5952817082617502,0.2999999999920007,1
0.7000000000000001,0.5267398254614626,0.47326017453853747,0.39735994089250254,0.6026400591074974,0.2999999999906673,1
0.8,0.5058153774046477,0.4941846225953524,0.3940935252931079,0.6059064747068921,0.2999999999893341,1
0.9,0.48465908860299706,0.5153409113970029,0.39504926662186035,0.6049507333781396,0.2999999999880007,1
1,0.46411439352625966,0.5358856064737404,0.4001890624880625,0.5998109375119375,0.29999999998666727,1
1.1,0.445000344332425,0.554999655667575,0.40930800545060086,0.5906919945493991,0.2999999999853341,1
1.2,0.42807895784294003,0.5719210421570601,0.42204255203098,0.57795744796902,0.2999999999840009,1
1.3,0.4140248363368022,0.5859751636631978,0.43788501604454505,0.5621149839554549,0.2999999999826676,1
1.4000000000000001,0.40339827328659955,0.5966017267134004,0.4562038084465149,0.5437961915534851,0.29999999998133414,1
1.5,0.39662291622592655,0.6033770837740735,0.47626861679403715,0.5237313832059628,0.2999999999800008,1
1.6,0.39396887725916324,0.6060311227408368,0.4972795204985742,0.5027204795014257,0.29999999997866766,1
1.7,0.3955419645442921,0.604458035455708,0.5183988811353881,0.4816011188646119,0.2999999999773344,1
1.8,0.4012794640555482,0.5987205359444518,0.5387847364441257,0.4612152635558742,0.29999999997600135,1
1.9000000000000001,0.41095263979371655,0.5890473602062835,0.5576243667070842,0.44237563329291585,0.29999999997466803,1
2,0.4241758527685791,0.575824147231421,0.5741666953195833,0.42583330468041664,0.2999999999733347,1
2.1,0.44042193520846123,0.5595780647915388,0.5877522318439554,0.4122477681560445,0.2999999999720014,1
2.2,0.45904320707565976,0.5409567929243402,0.5978393638120815,0.40216063618791864,0.2999999999706681,1
2.3000000000000003,0.479297297025606,0.520702702974394,0.6040259491052793,0.3959740508947208,0.2999999999693351,1
2.4,0.5003767384096072,0.49962326159039283,0.606065348091499,0.393934651908501,0.29999999996800164,1
2.5,0.5214411604219368,0.4785588395780633,0.6038762563691092,0.39612374363089087,0.2999999999666683,1
2.6,0.541650791031826,0.45834920896817394,0.5975459461168084,0.40245405388319166,0.299999999965335,1
2.7,0.5601999360441885,0.4398000639558115,0.5873267868272716,0.41267321317272837,0.2999999999640016,1
2.8000000000000003,0.5763490995845763,0.42365090041542375,0.5736261841319009,0.426373815868099,0.29999999996266835,1
2.9,0.5894544654660018,0.41054553453399817,0.5569903378239859,0.44300966217601423,0.2999999999613352,1
3,0.5989935641085639,0.40100643589143614,0.5380824665966348,0.4619175334033653,0.29999999996000193,1
3.1,0.604586101752794,0.395413898247206,0.5176563676064581,0.482343632393542,0.29999999995866883,1
3.2,0.6060091215717184,0.39399087842828157,0.49652636495975694,0.5034736350402431,0.2999999999573357,1
3.3000000000000003,0.6032058922559432,0.39679410774405677,0.4755348451802403,0.5244651548197596,0.2999999999560023,1
3.4,0.5962881697119271,0.40371183028807295,0.45551867391671735,0.5444813260832826,0.2999999999546692,1
3.5,0.5855317417066663,0.4144682582933337,0.4372758327506509,0.5627241672493491,0.29999999995333604,1
3.6,0.571365433079752,0.42863456692024804,0.4215336061887661,0.5784663938112339,0.29999999995200266,1
3.7,0.5543540098502941,0.4456459901497059,0.40891958712492393,0.5910804128750761,0.2999999999506692,1
3.8000000000000003,0.5351756637780211,0.464824336221979,0.3999366566919943,0.6000633433080057,0.2999999999493359,1
3.9,0.5145949749980475,0.4854050250019525,0.39494293597807645,0.6050570640219235,0.29999999994800225,1
4,0.4934324306237406,0.5065675693762594,0.39413750886887183,0.6058624911311282,0.29999999994666904,1
4.1,0.47253171451479276,0.5274682854852073,0.3975524852014294,0.6024475147985706,0.29999999994533594,1
4.2,0.45272607226422346,0.5472739277357765,0.40505172064627615,0.5949482793537239,0.2999999999440027,1
4.3,0.43480509232613335,0.5651949076738667,0.4163362443521914,0.5836637556478086,0.2999999999426696,1
4.4,0.4194832276158131,0.580516772384187,0.4309561779705581,0.569043822029442,0.29999999994133636,1
4.5,0.40737131252667397,0.592628687473326,0.448328670885402,0.551671329114598,0.29999999994000276,1
4.6000000000000005,0.39895221089064786,0.6010477891093521,0.4677611366280991,0.5322388633719008,0.2999999999386692,1
4.7,0.3945615657210253,0.6054384342789747,0.48847886411422353,0.5115211358857764,0.2999999999373359,1
4.8,0.3943744181847354,0.6056255818152646,0.5096559029296603,0.49034409707033966,0.2999999999360024,1
4.9,0.39839822926341445,0.6016017707365855,0.5304479913670919,0.4695520086329082,0.29999999993466914,1
